------------------------------------------------------------
Client connecting to 10.0.0.6, TCP port 5000 with pid 235175
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 39508 connected with 10.0.0.6 port 5000 (ct=146.72 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  3.00 MBytes  25.2 Mbits/sec  24/0          0       28K/106449 us  29.55
[  3] 1.0000-2.0000 sec  1.50 MBytes  12.6 Mbits/sec  12/0          4      192K/94259 us  16.69
[  3] 2.0000-3.0000 sec  2.25 MBytes  18.9 Mbits/sec  18/0          2      152K/69410 us  33.99
[  3] 3.0000-4.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      171K/80108 us  27.82
[  3] 4.0000-5.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          0      179K/85493 us  24.53
[  3] 5.0000-6.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      181K/86633 us  25.72
[  3] 6.0000-7.0000 sec  2.25 MBytes  18.9 Mbits/sec  18/0          0      186K/88317 us  26.71
[  3] 7.0000-8.0000 sec  1.62 MBytes  13.6 Mbits/sec  13/0          0      195K/92177 us  18.49
[  3] 8.0000-9.0000 sec  2.12 MBytes  17.8 Mbits/sec  17/0          0      202K/95770 us  23.27
[  3] 9.0000-10.0000 sec  2.25 MBytes  18.9 Mbits/sec  18/0          0      210K/101021 us  23.35
[  3] 10.0000-11.0000 sec  1.62 MBytes  13.6 Mbits/sec  13/0          0      230K/109515 us  15.56
[  3] 11.0000-12.0000 sec  2.25 MBytes  18.9 Mbits/sec  18/0          0      263K/124177 us  19.00
[  3] 12.0000-13.0000 sec  2.00 MBytes  16.8 Mbits/sec  16/0          8      223K/152003 us  13.80
[  3] 13.0000-14.0000 sec  1.25 MBytes  10.5 Mbits/sec  10/0          2      173K/122491 us  10.70
[  3] 14.0000-15.0000 sec  1.22 MBytes  10.3 Mbits/sec  10/0          3      127K/110923 us  11.55
[  3] 15.0000-16.0000 sec  1.18 MBytes  9.90 Mbits/sec  10/0          0      144K/121514 us  10.19
[  3] 16.0000-17.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      152K/132572 us  8.85
[  3] 17.0000-18.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      154K/138217 us  8.49
[  3] 18.0000-19.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0          0      154K/141216 us  7.84
[  3] 19.0000-20.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      155K/142954 us  8.20
[  3] 20.0000-21.0000 sec  1.12 MBytes  9.38 Mbits/sec  10/0          0      164K/144448 us  8.12
[  3] 21.0000-22.0000 sec  1.18 MBytes  9.93 Mbits/sec  10/0          0      178K/149154 us  8.33
[  3] 22.0000-23.0000 sec  1.25 MBytes  10.5 Mbits/sec  10/0          0      205K/138311 us  9.48
[  3] 23.0000-24.0000 sec  1.25 MBytes  10.5 Mbits/sec  10/0          0      240K/157004 us  8.35
[  3] 24.0000-25.0000 sec  1.25 MBytes  10.5 Mbits/sec  10/0          2      193K/135147 us  9.70
[  3] 25.0000-26.0000 sec  1.25 MBytes  10.5 Mbits/sec  10/0          2      149K/111334 us  11.77
[  3] 26.0000-27.0000 sec  1.21 MBytes  10.2 Mbits/sec  10/0          0      166K/127487 us  9.99
[  3] 27.0000-28.0000 sec  1.24 MBytes  10.4 Mbits/sec  10/0          0      176K/136299 us  9.53
[  3] 28.0000-29.0000 sec  1.24 MBytes  10.4 Mbits/sec  10/0          0      178K/141042 us  9.24
[  3] 29.0000-30.0000 sec  1.24 MBytes  10.4 Mbits/sec  10/0          0      178K/142082 us  9.17
[  3] 0.0000-30.0761 sec  47.4 MBytes  13.2 Mbits/sec  386/0         23       -1K/119250 us  13.87
