------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 93680
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 47522 connected with 10.0.0.3 port 5000 (ct=137.47 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  14.5 MBytes   122 Mbits/sec  116/0          0       28K/101339 us  150.03
[  3] 1.0000-2.0000 sec  7.37 MBytes  61.8 Mbits/sec  60/0        418      424K/65099 us  118.66
[  3] 2.0000-3.0000 sec  6.03 MBytes  50.6 Mbits/sec  49/0          0      424K/69872 us  90.46
[  3] 3.0000-4.0000 sec  5.97 MBytes  50.0 Mbits/sec  48/0          0      424K/71769 us  87.16
[  3] 4.0000-5.0000 sec  6.09 MBytes  51.1 Mbits/sec  49/0          0      487K/77924 us  81.95
[  3] 5.0000-6.0000 sec  5.59 MBytes  46.9 Mbits/sec  45/0          0      487K/77918 us  75.26
[  3] 6.0000-7.0000 sec  5.65 MBytes  47.4 Mbits/sec  46/0          0      415K/71825 us  82.56
[  3] 7.0000-8.0000 sec  5.72 MBytes  48.0 Mbits/sec  46/0          0      415K/71751 us  83.55
[  3] 8.0000-9.0000 sec  6.34 MBytes  53.2 Mbits/sec  51/0          0      527K/81119 us  81.93
[  3] 9.0000-10.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0          0      535K/83756 us  78.58
[  3] 10.0000-11.0000 sec  5.47 MBytes  45.9 Mbits/sec  44/0          0      535K/85619 us  66.97
[  3] 11.0000-12.0000 sec  5.97 MBytes  50.0 Mbits/sec  48/0          0      535K/89274 us  70.07
[  3] 12.0000-13.0000 sec  2.86 MBytes  24.0 Mbits/sec  23/0          0      535K/93827 us  31.95
[  3] 13.0000-14.0000 sec  5.28 MBytes  44.3 Mbits/sec  43/0          0      535K/97087 us  57.05
[  3] 14.0000-15.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0         37      497K/60276 us  107.02
[  3] 15.0000-16.0000 sec  5.72 MBytes  48.0 Mbits/sec  46/0          0      497K/60613 us  98.90
[  3] 16.0000-17.0000 sec  6.59 MBytes  55.3 Mbits/sec  54/0          0      497K/74204 us  93.08
[  3] 17.0000-18.0000 sec  6.65 MBytes  55.8 Mbits/sec  54/0          0      497K/74705 us  93.33
[  3] 18.0000-19.0000 sec  6.71 MBytes  56.3 Mbits/sec  54/0          0      497K/74630 us  94.30
[  3] 19.0000-20.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0          0      497K/74892 us  86.14
[  3] 20.0000-21.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0          0      497K/74239 us  88.65
[  3] 21.0000-22.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0          0      497K/75864 us  90.19
[  3] 22.0000-23.0000 sec  6.46 MBytes  54.2 Mbits/sec  53/0          0      497K/73405 us  92.32
[  3] 23.0000-24.0000 sec  6.21 MBytes  52.1 Mbits/sec  51/0          0      497K/79740 us  81.72
[  3] 24.0000-25.0000 sec  5.90 MBytes  49.5 Mbits/sec  48/0          0      584K/83768 us  73.90
[  3] 25.0000-26.0000 sec  5.03 MBytes  42.2 Mbits/sec  41/0          0      497K/89270 us  59.12
[  3] 26.0000-27.0000 sec  5.10 MBytes  42.7 Mbits/sec  41/0          0      497K/97052 us  55.05
[  3] 27.0000-28.0000 sec  5.72 MBytes  48.0 Mbits/sec  46/0          8      496K/60311 us  99.40
[  3] 28.0000-29.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0          0      497K/76882 us  88.99
[  3] 29.0000-30.0000 sec  6.40 MBytes  53.7 Mbits/sec  52/0          0      497K/77716 us  86.36
[  3] 0.0000-30.4335 sec   187 MBytes  51.6 Mbits/sec  1516/0        463       -1K/78191 us  82.50
