------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 93352
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 36710 connected with 10.0.0.4 port 5001 (ct=137.78 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  9.00 MBytes  75.5 Mbits/sec  72/0          0       53K/73546 us  128.32
[  3] 1.0000-2.0000 sec  7.88 MBytes  66.1 Mbits/sec  63/0          0      992K/133881 us  61.68
[  3] 2.0000-3.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0         24      796K/100585 us  83.40
[  3] 3.0000-4.0000 sec  5.88 MBytes  49.3 Mbits/sec  47/0          0      876K/102599 us  60.04
[  3] 4.0000-5.0000 sec  8.50 MBytes  71.3 Mbits/sec  68/0         15      641K/122937 us  72.50
[  3] 5.0000-6.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      704K/103219 us  60.95
[  3] 6.0000-7.0000 sec  7.88 MBytes  66.1 Mbits/sec  63/0          0      738K/85973 us  96.05
[  3] 7.0000-8.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      763K/119458 us  52.67
[  3] 8.0000-9.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          0      774K/116954 us  71.73
[  3] 9.0000-10.0000 sec  5.88 MBytes  49.3 Mbits/sec  47/0          0      779K/100184 us  61.49
[  3] 10.0000-11.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          0      779K/90001 us  93.21
[  3] 11.0000-12.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          0      779K/100309 us  83.63
[  3] 12.0000-13.0000 sec  5.88 MBytes  49.3 Mbits/sec  47/0          0      783K/111380 us  55.31
[  3] 13.0000-14.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      791K/106586 us  59.03
[  3] 14.0000-15.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          0      807K/121262 us  69.18
[  3] 15.0000-16.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      842K/111180 us  61.30
[  3] 16.0000-17.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0         10      653K/99827 us  63.02
[  3] 17.0000-18.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          0      721K/90515 us  92.68
[  3] 18.0000-19.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      781K/103990 us  60.50
[  3] 19.0000-20.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      811K/98879 us  68.93
[  3] 20.0000-21.0000 sec  8.00 MBytes  67.1 Mbits/sec  64/0          5      595K/80521 us  104.18
[  3] 21.0000-22.0000 sec  6.12 MBytes  51.4 Mbits/sec  49/0          0      650K/102640 us  62.57
[  3] 22.0000-23.0000 sec  3.88 MBytes  32.5 Mbits/sec  31/0         12      483K/79665 us  51.00
[  3] 23.0000-24.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      513K/88358 us  71.20
[  3] 24.0000-25.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      543K/100018 us  62.90
[  3] 25.0000-26.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      559K/87068 us  72.26
[  3] 26.0000-27.0000 sec  5.88 MBytes  49.3 Mbits/sec  47/0          0      565K/98409 us  62.60
[  3] 27.0000-28.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      567K/99342 us  63.33
[  3] 28.0000-29.0000 sec  6.00 MBytes  50.3 Mbits/sec  48/0          0      567K/99375 us  63.31
[  3] 29.0000-30.0000 sec  5.88 MBytes  49.3 Mbits/sec  47/0          0      568K/95564 us  64.46
[  3] 0.0000-30.1650 sec   202 MBytes  56.1 Mbits/sec  1613/0         66       -1K/100807 us  69.53
