------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5001 with pid 117613
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 34622 connected with 10.0.0.3 port 5001 (ct=143.56 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  12.0 MBytes   101 Mbits/sec  96/0          0       26K/99189 us  126.86
[  3] 1.0000-2.0000 sec  8.12 MBytes  68.2 Mbits/sec  65/0          0     1187K/106618 us  79.91
[  3] 2.0000-3.0000 sec  10.2 MBytes  86.0 Mbits/sec  82/0        147      666K/75223 us  142.88
[  3] 3.0000-4.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      722K/65711 us  121.68
[  3] 4.0000-5.0000 sec  10.2 MBytes  86.0 Mbits/sec  82/0          0      750K/84286 us  127.52
[  3] 5.0000-6.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      772K/88207 us  90.64
[  3] 6.0000-7.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      780K/86967 us  91.94
[  3] 7.0000-8.0000 sec  10.1 MBytes  84.9 Mbits/sec  81/0          0      783K/91356 us  116.21
[  3] 8.0000-9.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      783K/78814 us  101.45
[  3] 9.0000-10.0000 sec  7.75 MBytes  65.0 Mbits/sec  62/0          0      783K/92820 us  87.55
[  3] 10.0000-11.0000 sec  10.1 MBytes  84.9 Mbits/sec  81/0          0      787K/109624 us  96.85
[  3] 11.0000-12.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      801K/83557 us  95.69
[  3] 12.0000-13.0000 sec  10.2 MBytes  86.0 Mbits/sec  82/0          0      821K/102376 us  104.98
[  3] 13.0000-14.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      863K/92092 us  86.82
[  3] 14.0000-15.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      913K/108293 us  73.83
[  3] 15.0000-16.0000 sec  10.2 MBytes  86.0 Mbits/sec  82/0          0      977K/87611 us  122.68
[  3] 16.0000-17.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0     1088K/119304 us  67.02
[  3] 17.0000-18.0000 sec  10.1 MBytes  84.9 Mbits/sec  81/0         14      831K/82411 us  128.83
[  3] 18.0000-19.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      944K/100442 us  79.60
[  3] 19.0000-20.0000 sec  7.75 MBytes  65.0 Mbits/sec  62/0         21      708K/79262 us  102.53
[  3] 20.0000-21.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      750K/86039 us  92.93
[  3] 21.0000-22.0000 sec  10.1 MBytes  84.9 Mbits/sec  81/0          0      780K/90613 us  117.17
[  3] 22.0000-23.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          6      565K/71137 us  75.54
[  3] 23.0000-24.0000 sec  10.2 MBytes  86.0 Mbits/sec  82/0          0      599K/71643 us  150.02
[  3] 24.0000-25.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      646K/82148 us  97.33
[  3] 25.0000-26.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      666K/91408 us  87.47
[  3] 26.0000-27.0000 sec  7.75 MBytes  65.0 Mbits/sec  62/0          0      677K/69880 us  116.29
[  3] 27.0000-28.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      680K/80780 us  98.98
[  3] 28.0000-29.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      680K/92992 us  85.98
[  3] 29.0000-30.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      680K/75295 us  106.19
[  3] 0.0000-30.0144 sec   255 MBytes  71.2 Mbits/sec  2037/0        188       -1K/88203 us  100.85
