------------------------------------------------------------
Client connecting to 10.0.0.5, TCP port 5002 with pid 117102
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.4 port 39384 connected with 10.0.0.5 port 5002 (ct=129.11 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  15.8 MBytes   132 Mbits/sec  126/0          0       28K/91532 us  180.43
[  3] 1.0000-2.0000 sec  8.59 MBytes  72.1 Mbits/sec  70/0          0     1609K/180093 us  50.02
[  3] 2.0000-3.0000 sec  7.33 MBytes  61.5 Mbits/sec  60/0        233     1122K/92251 us  83.35
[  3] 3.0000-4.0000 sec  8.82 MBytes  74.0 Mbits/sec  71/0        307     1088K/84744 us  109.18
[  3] 4.0000-5.0000 sec  8.20 MBytes  68.8 Mbits/sec  66/0        130     1083K/85891 us  100.14
[  3] 5.0000-6.0000 sec  8.33 MBytes  69.9 Mbits/sec  67/0        137     1102K/78929 us  110.62
[  3] 6.0000-7.0000 sec  8.45 MBytes  70.9 Mbits/sec  69/0        136     1125K/86682 us  102.23
[  3] 7.0000-8.0000 sec  8.39 MBytes  70.4 Mbits/sec  68/0        175     1114K/86423 us  101.79
[  3] 8.0000-9.0000 sec  8.51 MBytes  71.4 Mbits/sec  69/0        112     1114K/93391 us  95.59
[  3] 9.0000-10.0000 sec  8.26 MBytes  69.3 Mbits/sec  67/0        130     1179K/99368 us  87.21
[  3] 10.0000-11.0000 sec  8.58 MBytes  71.9 Mbits/sec  69/0        164      732K/92067 us  97.67
[  3] 11.0000-12.0000 sec  5.72 MBytes  48.0 Mbits/sec  46/0        284     1595K/102087 us  58.72
[  3] 12.0000-13.0000 sec  6.91 MBytes  58.0 Mbits/sec  56/0        467     1218K/98591 us  73.52
[  3] 13.0000-14.0000 sec  9.12 MBytes  76.5 Mbits/sec  74/0        654     1193K/83728 us  114.21
[  3] 14.0000-15.0000 sec  8.45 MBytes  70.9 Mbits/sec  68/0        177     1136K/90579 us  97.83
[  3] 15.0000-16.0000 sec  8.51 MBytes  71.4 Mbits/sec  69/0         96     1114K/88344 us  101.05
[  3] 16.0000-17.0000 sec  8.45 MBytes  70.9 Mbits/sec  69/0        180     1119K/91455 us  96.90
[  3] 17.0000-18.0000 sec  8.51 MBytes  71.4 Mbits/sec  69/0        179     1134K/94383 us  94.58
[  3] 18.0000-19.0000 sec  7.71 MBytes  64.6 Mbits/sec  63/0        145     1111K/95877 us  84.27
[  3] 19.0000-20.0000 sec  8.51 MBytes  71.4 Mbits/sec  69/0        199     1016K/100508 us  88.82
[  3] 20.0000-21.0000 sec  8.76 MBytes  73.5 Mbits/sec  71/0        175      715K/84781 us  108.37
[  3] 21.0000-22.0000 sec  9.01 MBytes  75.6 Mbits/sec  73/0        104      845K/87552 us  107.92
[  3] 22.0000-23.0000 sec  6.40 MBytes  53.7 Mbits/sec  52/0          0     1233K/74835 us  89.68
[  3] 23.0000-24.0000 sec  9.26 MBytes  77.7 Mbits/sec  75/0         81      815K/88370 us  109.87
[  3] 24.0000-25.0000 sec  8.35 MBytes  70.1 Mbits/sec  67/0        120     1127K/86548 us  101.20
[  3] 25.0000-26.0000 sec  9.42 MBytes  79.0 Mbits/sec  77/0        179     1193K/85086 us  116.09
[  3] 26.0000-27.0000 sec  8.95 MBytes  75.1 Mbits/sec  73/0        147     1196K/90340 us  103.86
[  3] 27.0000-28.0000 sec  4.47 MBytes  37.5 Mbits/sec  36/0        274     1199K/86954 us  53.95
[  3] 28.0000-29.0000 sec  8.89 MBytes  74.5 Mbits/sec  72/0         95     1182K/89608 us  103.98
[  3] 29.0000-30.0000 sec  8.82 MBytes  74.0 Mbits/sec  72/0        220     1193K/89088 us  103.86
[  3] 0.0000-30.0498 sec   253 MBytes  70.8 Mbits/sec  2053/0       5300       -1K/92669 us  95.44
