------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 89148
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 59804 connected with 10.0.0.3 port 5000 (ct=125.57 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  16.6 MBytes   139 Mbits/sec  133/0          0       28K/94341 us  184.78
[  3] 1.0000-2.0000 sec  10.9 MBytes  91.3 Mbits/sec  88/0        642     1298K/61679 us  184.95
[  3] 2.0000-3.0000 sec  9.88 MBytes  82.9 Mbits/sec  80/0         21     1247K/81421 us  127.25
[  3] 3.0000-4.0000 sec  10.0 MBytes  83.9 Mbits/sec  81/0          0     1269K/84835 us  123.66
[  3] 4.0000-5.0000 sec  10.1 MBytes  84.4 Mbits/sec  81/0          0     1272K/92850 us  113.69
[  3] 5.0000-6.0000 sec  10.1 MBytes  84.4 Mbits/sec  81/0          0     1289K/97563 us  108.20
[  3] 6.0000-7.0000 sec  10.3 MBytes  86.5 Mbits/sec  84/0         12     1332K/90274 us  119.82
[  3] 7.0000-8.0000 sec  10.3 MBytes  86.0 Mbits/sec  83/0          0     1315K/108691 us  98.92
[  3] 8.0000-9.0000 sec  10.4 MBytes  87.6 Mbits/sec  84/0         17     1380K/96113 us  113.90
[  3] 9.0000-10.0000 sec  10.1 MBytes  85.0 Mbits/sec  82/0          7     1052K/100075 us  106.13
[  3] 10.0000-11.0000 sec  9.66 MBytes  81.0 Mbits/sec  78/0          7     1081K/103172 us  98.18
[  3] 11.0000-12.0000 sec  7.43 MBytes  62.3 Mbits/sec  60/0          5        5K/94791 us  82.18
[  3] 12.0000-13.0000 sec  10.3 MBytes  86.5 Mbits/sec  84/0          0     1329K/80766 us  133.92
[  3] 13.0000-14.0000 sec  10.3 MBytes  86.5 Mbits/sec  84/0          0     1315K/91015 us  118.84
[  3] 14.0000-15.0000 sec  10.4 MBytes  87.1 Mbits/sec  84/0          0     1315K/94640 us  114.98
