------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 87121
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 51618 connected with 10.0.0.4 port 5001 (ct=126.08 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  12.2 MBytes   103 Mbits/sec  98/0          0       28K/90423 us  142.06
[  3] 1.0000-2.0000 sec  6.50 MBytes  54.5 Mbits/sec  53/0        417      899K/72848 us  93.52
[  3] 2.0000-3.0000 sec  5.97 MBytes  50.0 Mbits/sec  49/0         48      476K/77564 us  80.65
[  3] 3.0000-4.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0         30      789K/73667 us  92.87
[  3] 4.0000-5.0000 sec  6.21 MBytes  52.1 Mbits/sec  50/0         21      789K/74201 us  87.82
[  3] 5.0000-6.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0         33      794K/75376 us  85.58
[  3] 6.0000-7.0000 sec  6.21 MBytes  52.1 Mbits/sec  50/0         18      803K/77378 us  84.21
[  3] 7.0000-8.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0         57      814K/78466 us  82.21
[  3] 8.0000-9.0000 sec  6.34 MBytes  53.2 Mbits/sec  52/0         36      814K/81822 us  81.23
[  3] 9.0000-10.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0         63      837K/92715 us  69.58
[  3] 10.0000-11.0000 sec  4.47 MBytes  37.5 Mbits/sec  36/0         70        5K/97088 us  48.32
[  3] 11.0000-12.0000 sec  5.90 MBytes  49.5 Mbits/sec  48/0         10      868K/84430 us  73.32
[  3] 12.0000-13.0000 sec  6.21 MBytes  52.1 Mbits/sec  50/0        173      882K/92815 us  70.20
[  3] 13.0000-14.0000 sec  3.29 MBytes  27.6 Mbits/sec  27/0        265      876K/91433 us  37.77
[  3] 14.0000-15.0000 sec  5.53 MBytes  46.4 Mbits/sec  45/0        132      873K/95545 us  60.70
[  3] 15.0000-16.0000 sec  6.28 MBytes  52.6 Mbits/sec  51/0        505      879K/99448 us  66.18
[  3] 16.0000-17.0000 sec  6.09 MBytes  51.1 Mbits/sec  50/0        413      851K/102427 us  62.34
