------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 88132
Write buffer size:  128 KByte
TCP window size:  128 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 51642 connected with 10.0.0.4 port 5001 (ct=126.55 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  17.0 MBytes   143 Mbits/sec  136/0          0       28K/94853 us  187.93
[  3] 1.0000-2.0000 sec  9.14 MBytes  76.6 Mbits/sec  74/0          0     2060K/168227 us  56.95
[  3] 2.0000-3.0000 sec  8.76 MBytes  73.5 Mbits/sec  71/0        559     1248K/143153 us  64.18
[  3] 3.0000-4.0000 sec  8.76 MBytes  73.5 Mbits/sec  71/0        502     1442K/131683 us  69.77
[  3] 4.0000-5.0000 sec  7.42 MBytes  62.2 Mbits/sec  60/0        939     1323K/141507 us  54.96
[  3] 5.0000-6.0000 sec  10.0 MBytes  84.3 Mbits/sec  82/0        338     1332K/114746 us  91.79
[  3] 6.0000-7.0000 sec  8.70 MBytes  73.0 Mbits/sec  70/0        123     1211K/120113 us  75.95
[  3] 7.0000-8.0000 sec  9.57 MBytes  80.3 Mbits/sec  78/0        144     1433K/111354 us  90.11
[  3] 8.0000-9.0000 sec  10.7 MBytes  89.7 Mbits/sec  87/0        414     1527K/129463 us  86.57
[  3] 9.0000-10.0000 sec  4.85 MBytes  40.7 Mbits/sec  39/0        885     1209K/129001 us  39.40
[  3] 10.0000-11.0000 sec  8.45 MBytes  70.9 Mbits/sec  68/0        145     1382K/100788 us  87.92
[  3] 11.0000-12.0000 sec  8.58 MBytes  71.9 Mbits/sec  70/0        468     1360K/115051 us  78.16
[  3] 12.0000-13.0000 sec  6.03 MBytes  50.6 Mbits/sec  49/0        197     1309K/101133 us  62.50
[  3] 13.0000-14.0000 sec  6.90 MBytes  57.9 Mbits/sec  56/0        467     1057K/115171 us  62.80
[  3] 14.0000-15.0000 sec  7.64 MBytes  64.1 Mbits/sec  62/0        135     1479K/86538 us  92.61
[  3] 15.0000-16.0000 sec  8.20 MBytes  68.8 Mbits/sec  66/0        587     1300K/109736 us  78.38
[  3] 16.0000-17.0000 sec  7.60 MBytes  63.8 Mbits/sec  61/0        572     1510K/108616 us  73.40
[  3] 17.0000-18.0000 sec  9.42 MBytes  79.0 Mbits/sec  77/0        242     1490K/132373 us  74.65
[  3] 18.0000-19.0000 sec  10.4 MBytes  87.6 Mbits/sec  84/0        426     1408K/126456 us  86.57
[  3] 19.0000-20.0000 sec  5.30 MBytes  44.4 Mbits/sec  43/0        761     1484K/112236 us  49.50
[  3] 20.0000-21.0000 sec  8.25 MBytes  69.2 Mbits/sec  67/0        463     1309K/114402 us  75.60
[  3] 21.0000-22.0000 sec  7.77 MBytes  65.2 Mbits/sec  63/0        457     1337K/134111 us  60.73
[  3] 22.0000-23.0000 sec  5.47 MBytes  45.9 Mbits/sec  45/0        338     1272K/71121 us  80.62
[  3] 23.0000-24.0000 sec  7.39 MBytes  62.0 Mbits/sec  60/0        259     1074K/119999 us  64.62
[  3] 24.0000-25.0000 sec  6.46 MBytes  54.2 Mbits/sec  52/0        344     1066K/125198 us  54.13
[  3] 25.0000-26.0000 sec  7.71 MBytes  64.6 Mbits/sec  63/0        577     1040K/122289 us  66.07
[  3] 26.0000-27.0000 sec  8.08 MBytes  67.8 Mbits/sec  65/0        252      892K/135108 us  62.70
[  3] 27.0000-28.0000 sec  7.46 MBytes  62.6 Mbits/sec  60/0        102      871K/119397 us  65.49
[  3] 28.0000-29.0000 sec  6.15 MBytes  51.6 Mbits/sec  50/0         10     1422K/94967 us  67.93
[  3] 29.0000-30.0000 sec  8.70 MBytes  73.0 Mbits/sec  70/0        368     1436K/110777 us  82.35
[  3] 30.0000-31.0000 sec  8.08 MBytes  67.8 Mbits/sec  65/0        213     1422K/134219 us  63.11
[  3] 31.0000-32.0000 sec  6.90 MBytes  57.9 Mbits/sec  56/0        608     1544K/134169 us  53.91
[  3] 32.0000-33.0000 sec  6.90 MBytes  57.9 Mbits/sec  56/0        637        5K/136086 us  53.15
[  3] 33.0000-34.0000 sec  6.29 MBytes  52.7 Mbits/sec  51/0        281     1349K/122201 us  53.95
[  3] 34.0000-35.0000 sec  6.40 MBytes  53.7 Mbits/sec  52/0        442     1544K/125897 us  53.27
[  3] 35.0000-36.0000 sec  9.94 MBytes  83.4 Mbits/sec  80/0        912     1498K/144699 us  72.00
[  3] 36.0000-37.0000 sec  8.78 MBytes  73.7 Mbits/sec  71/0        599     1392K/161581 us  56.99
[  3] 37.0000-38.0000 sec  12.9 MBytes   108 Mbits/sec  105/0        419     1363K/176145 us  76.82
[  3] 38.0000-39.0000 sec  1.06 MBytes  8.86 Mbits/sec  9/0       1193     1517K/144240 us  7.68
[  3] 39.0000-40.0000 sec  14.6 MBytes   123 Mbits/sec  118/0        696     1521K/136937 us  112.00
[  3] 40.0000-41.0000 sec  2.90 MBytes  24.3 Mbits/sec  24/0        721     1312K/119845 us  25.35
[  3] 41.0000-42.0000 sec  12.0 MBytes   101 Mbits/sec  97/0        315     1312K/118569 us  106.06
[  3] 42.0000-43.0000 sec  5.72 MBytes  48.0 Mbits/sec  46/0        500      982K/125368 us  47.82
[  3] 43.0000-44.0000 sec  5.34 MBytes  44.8 Mbits/sec  44/0         70     1102K/132962 us  42.15
[  3] 44.0000-45.0000 sec  8.95 MBytes  75.1 Mbits/sec  72/0        585     1176K/125108 us  75.00
[  3] 45.0000-46.0000 sec  6.52 MBytes  54.7 Mbits/sec  53/0        235     1039K/140720 us  48.62
[  3] 46.0000-47.0000 sec  2.86 MBytes  24.0 Mbits/sec  23/0        544     1121K/138295 us  21.67
