------------------------------------------------------------
Client connecting to 10.0.0.3, TCP port 5000 with pid 86583
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.1 port 59724 connected with 10.0.0.3 port 5000 (ct=126.02 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  7.62 MBytes  64.0 Mbits/sec  61/0          0      414K/99044 us  80.73
[  3] 1.0000-2.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0       67K/96426 us  46.22
[  3] 2.0000-3.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0      622K/95285 us  46.77
[  3] 3.0000-4.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      206K/95657 us  61.66
[  3] 4.0000-5.0000 sec  5.75 MBytes  48.2 Mbits/sec  46/0          0      275K/92382 us  65.27
[  3] 5.0000-6.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      483K/95108 us  45.48
[  3] 6.0000-7.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      622K/75263 us  78.37
[  3] 7.0000-8.0000 sec  5.75 MBytes  48.2 Mbits/sec  46/0          0      275K/72367 us  83.32
[  3] 8.0000-9.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      552K/97257 us  60.65
[  3] 9.0000-10.0000 sec  4.38 MBytes  36.7 Mbits/sec  35/0          0      275K/78260 us  58.62
[  3] 10.0000-11.0000 sec  4.12 MBytes  34.6 Mbits/sec  33/0          0      483K/67225 us  64.34
[  3] 11.0000-12.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      622K/85646 us  68.87
[  3] 12.0000-13.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      691K/80478 us  73.29
[  3] 13.0000-14.0000 sec  5.75 MBytes  48.2 Mbits/sec  46/0          0      691K/79359 us  75.98
[  3] 14.0000-15.0000 sec  6.88 MBytes  57.7 Mbits/sec  55/0          0      483K/95033 us  75.86
[  3] 15.0000-16.0000 sec  4.38 MBytes  36.7 Mbits/sec  35/0          0      691K/80595 us  56.92
[  3] 16.0000-17.0000 sec  5.62 MBytes  47.2 Mbits/sec  45/0          0      483K/76287 us  77.32
[  3] 17.0000-18.0000 sec  5.75 MBytes  48.2 Mbits/sec  46/0          0      137K/92708 us  65.04
[  3] 18.0000-19.0000 sec  4.25 MBytes  35.7 Mbits/sec  34/0          0      206K/76984 us  57.89
