------------------------------------------------------------
Client connecting to 10.0.0.4, TCP port 5001 with pid 87637
Write buffer size:  128 KByte
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  3] local 10.0.0.2 port 51630 connected with 10.0.0.4 port 5001 (ct=125.98 ms)
[ ID] Interval            Transfer    Bandwidth       Write/Err  Rtry     Cwnd/RTT        NetPwr
[  3] 0.0000-1.0000 sec  6.62 MBytes  55.6 Mbits/sec  53/0          0       28K/94506 us  73.51
[  3] 1.0000-2.0000 sec  6.62 MBytes  55.6 Mbits/sec  53/0          0      606K/97919 us  70.94
[  3] 2.0000-3.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0         32      352K/60428 us  91.10
[  3] 3.0000-4.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0          0      376K/64054 us  85.94
[  3] 4.0000-5.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      391K/66403 us  102.64
[  3] 5.0000-6.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0          0      398K/68170 us  80.75
[  3] 6.0000-7.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0          0      398K/68256 us  80.65
[  3] 7.0000-8.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      398K/68303 us  99.79
[  3] 8.0000-9.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          0      403K/68517 us  78.43
[  3] 9.0000-10.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0          0      411K/70353 us  78.25
[  3] 10.0000-11.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      422K/72354 us  94.20
[  3] 11.0000-12.0000 sec  5.25 MBytes  44.0 Mbits/sec  42/0          0      452K/77240 us  71.27
[  3] 12.0000-13.0000 sec  6.50 MBytes  54.5 Mbits/sec  52/0          0      492K/83465 us  81.66
[  3] 13.0000-14.0000 sec  4.00 MBytes  33.6 Mbits/sec  32/0          0      562K/95089 us  44.11
[  3] 14.0000-15.0000 sec  5.12 MBytes  43.0 Mbits/sec  41/0          7      296K/62249 us  86.33
